sno,Date,Field,Topic,Completed,notes,focuslevel
1,22/01/2026,Python,basic_16hrs_video,4,no,5
2,23/01/2026,Python,basic_16hrs_video,2,no,3.5
3,24/01/2026,Python,basic_16hrs_video,0.3,no,1.5
4,25/01/2026,Python,basic_16hrs_video,3,no,4
5,26/01/2026,DevOPS,github,1:51:00,yes,5
6,27/01/2026,NET framework,VBNET,3,yes,5
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
